Date,VOO,Volume,Next Close,RSI,20SMA,STD,ZScore,MACD Signal,Day Change
2018-01-16,254.479996,3719600,256.940002,0.0,0.0,0.0,0.0,0.0,2.460005999999993
2018-01-17,256.940002,1867700,256.589996,0.0,0.0,0.0,0.0,0.0,-0.3500060000000076
2018-01-18,256.589996,3154200,257.679993,0.0,0.0,0.0,0.0,0.0,1.0899970000000394
2018-01-19,257.679993,2541200,259.75,0.0,0.0,0.0,0.0,0.0,2.0700069999999755
2018-01-22,259.75,1607800,260.339996,0.0,0.0,0.0,0.0,0.0,0.5899959999999851
2018-01-23,260.339996,2161100,260.209991,0.0,0.0,0.0,0.0,0.0,-0.13000499999998283
2018-01-24,260.209991,2935500,260.329987,0.0,0.0,0.0,0.0,0.0,0.11999600000001465
2018-01-25,260.329987,3585600,263.359985,0.0,0.0,0.0,0.0,0.0,3.0299979999999778
2018-01-26,263.359985,2857300,261.540009,0.0,0.0,0.0,0.0,0.0,-1.819975999999997
2018-01-29,261.540009,5145000,258.75,0.0,0.0,0.0,0.0,0.0,-2.7900089999999977
2018-01-30,258.75,6678900,258.98999,0.0,0.0,0.0,0.0,0.0,0.2399899999999775
2018-01-31,258.98999,5585800,258.730011,0.0,0.0,0.0,0.0,0.0,-0.2599789999999871
2018-02-01,258.730011,3125700,253.190002,0.0,0.0,0.0,0.0,0.0,-5.540008999999998
2018-02-02,253.190002,5532200,242.789993,0.0,0.0,0.0,0.0,0.0,-10.400008999999983
2018-02-05,242.789993,8559200,247.27999900000003,31.07800350683259,0.0,0.0,0.0,0.0,4.490006000000022
2018-02-06,247.27999900000003,11701700,245.929993,40.406521834708144,0.0,0.0,0.0,0.0,-1.350006000000036
2018-02-07,245.929993,6240200,236.789993,38.71002994507755,0.0,0.0,0.0,0.0,-9.139999999999986
2018-02-08,236.789993,6985700,240.440002,29.63736154455813,0.0,0.0,0.0,0.0,3.650008999999983
2018-02-09,240.440002,9713100,243.740005,36.08022855646108,0.0,0.0,0.0,0.0,3.300003000000004
2018-02-12,243.740005,4236200,244.559998,41.312472088118064,253.89249715,7.800672390076048,-1.3014893642906882,0.0,0.8199930000000109
2018-02-13,244.559998,3077700,247.75999500000003,42.57043760661293,253.39649724999995,8.05865951078681,-1.0965222240959516,0.0,3.1999970000000246
2018-02-14,247.75999500000003,3650800,250.970001,47.31638177040421,252.9374969,8.105060047559409,-0.6387987096479315,0.0,3.2100059999999644
2018-02-15,250.970001,2923800,250.940002,51.63421911147133,252.65649714999995,8.070907757934945,-0.20895990892002164,0.0,-0.02999900000000366
2018-02-16,250.940002,3007500,249.419998,51.591663598183395,252.3194976,7.994468437153566,-0.17255626322682116,0.0,-1.5200040000000001
