Date,VOO,Volume,Next Close,RSI,20SMA,BBLower,BBUpper,STD,ZScore,MACD,MACD Signal Line
2018-01-16,254.479996,3719600,256.940002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-17,256.940002,1867700,256.589996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-18,256.589996,3154200,257.679993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-19,257.679993,2541200,259.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-22,259.75,1607800,260.339996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-23,260.339996,2161100,260.209991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-24,260.209991,2935500,260.329987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-25,260.329987,3585600,263.359985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-26,263.359985,2857300,261.540009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-29,261.540009,5145000,258.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-30,258.75,6678900,258.98999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-31,258.98999,5585800,258.730011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-01,258.730011,3125700,253.190002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-02,253.190002,5532200,242.789993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-05,242.789993,8559200,247.27999900000003,31.078003506832587,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-06,247.27999900000003,11701700,245.92999300000002,40.406521834708144,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-07,245.92999300000002,6240200,236.789993,38.71002994507755,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-08,236.789993,6985700,240.440002,29.637361544558132,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-09,240.440002,9713100,243.74000499999997,36.08022855646108,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-12,243.74000499999997,4236200,244.559998,41.31247208811806,253.89249714999997,238.29115236984788,269.4938419301521,7.800672390076049,-1.3014893642906882,0.0,0.0
2018-02-13,244.559998,3077700,247.75999500000003,42.570437606612934,253.39649724999995,237.27917822842633,269.51381627157355,8.05865951078681,-1.0965222240959516,0.0,0.0
2018-02-14,247.75999500000003,3650800,250.97000099999997,47.31638177040421,252.93749689999999,236.72737680488117,269.1476169951188,8.105060047559409,-0.6387987096479315,0.0,0.0
2018-02-15,250.97000099999997,2923800,250.940002,51.634219111471324,252.65649714999995,236.51468163413006,268.79831266586984,8.070907757934945,-0.20895990892002164,0.0,0.0
