Date,Next_Close,Days_Change,GreenRed
2018-03-05,250.830002,0.6300049999999828,1
2018-03-06,250.720001,-0.11000100000003954,0
2018-03-07,251.889999,1.1699980000000494,1
2018-03-08,256.25,4.360000999999983,1
2018-03-09,256.0,-0.25,0
2018-03-12,254.309998,-1.690001999999993,0
2018-03-13,252.970001,-1.3399970000000394,0
2018-03-14,252.729996,-0.24000499999996805,0
2018-03-15,252.990005,0.2600089999999682,1
2018-03-16,249.610001,-3.3800039999999854,0
2018-03-19,250.050003,0.4400019999999927,1
2018-03-20,249.470001,-0.5800020000000075,0
2018-03-21,243.270004,-6.199996999999968,0
2018-03-22,238.089996,-5.180008000000015,0
2018-03-23,243.52999900000003,5.440003000000046,1
2018-03-26,239.309998,-4.220001000000025,0
2018-03-27,238.639999,-0.66999899999999,0
2018-03-28,242.080002,3.4400029999999906,1
2018-03-29,236.479996,-5.6000060000000085,0
2018-04-02,239.479996,3.0,1
2018-04-03,242.240005,2.7600089999999686,1
2018-04-04,243.990005,1.75,1
2018-04-05,238.619995,-5.370009999999951,0
2018-04-06,239.589996,0.970000999999968,1
2018-04-09,243.539993,3.9499970000000246,1
2018-04-10,242.25,-1.2899930000000095,0
2018-04-11,244.27999900000003,2.029999000000032,1
2018-04-12,243.600006,-0.6799930000000245,0
2018-04-13,245.580002,1.979996,1
2018-04-16,248.220001,2.6399989999999605,1
2018-04-17,248.360001,0.14000000000001478,1
2018-04-18,247.0,-1.3600009999999827,0
2018-04-19,245.0,-2.0,0
2018-04-20,244.889999,-0.1100009999999827,0
2018-04-23,241.550003,-3.339996000000042,0
2018-04-24,242.169998,0.6199950000000172,1
2018-04-25,244.660004,2.4900060000000224,1
2018-04-26,244.919998,0.25999399999997763,1
2018-04-27,242.919998,-2.0,0
2018-04-30,243.440002,0.5200040000000001,1
2018-05-01,241.77999900000003,-1.6600029999999606,0
2018-05-02,241.210007,-0.5699920000000418,0
2018-05-03,244.410004,3.1999970000000246,1
2018-05-04,245.169998,0.7599939999999776,1
2018-05-07,245.160004,-0.009993999999977632,0
2018-05-08,247.539993,2.3799889999999952,1
2018-05-09,249.860001,2.320007999999973,1
2018-05-10,250.470001,0.6099999999999852,1
2018-05-11,250.75,0.2799990000000321,1
2018-05-14,249.02999900000003,-1.7200009999999681,0
2018-05-15,250.089996,1.059996999999953,1
