Date,Open,High,Low,Close,Adj Close,Volume
2018-01-16,256.790009,257.399994,253.800003,254.479996,244.620010,3719600
2018-01-17,255.500000,257.350006,254.740005,256.940002,246.984711,1867700
2018-01-18,256.839996,257.269989,256.019989,256.589996,246.648239,3154200
2018-01-19,257.149994,257.690002,256.529999,257.679993,247.695999,2541200
2018-01-22,257.450012,259.779999,257.450012,259.750000,249.685806,1607800
2018-01-23,259.839996,260.630005,259.510010,260.339996,250.252975,2161100
2018-01-24,261.029999,261.630005,259.019989,260.209991,250.128006,2935500
2018-01-25,261.170013,261.220001,259.529999,260.329987,250.243332,3585600
2018-01-26,261.329987,263.369995,260.970001,263.359985,253.155914,2857300
2018-01-29,262.829987,263.250000,261.480011,261.540009,251.406448,5145000
2018-01-30,259.670013,260.350006,258.459991,258.750000,248.724548,6678900
2018-01-31,259.829987,260.380005,257.950012,258.989990,248.955246,5585800
2018-02-01,258.290009,260.119995,257.950012,258.730011,248.705353,3125700
2018-02-02,257.369995,257.500000,253.089996,253.190002,243.379959,5532200
2018-02-05,251.259995,253.470001,241.919998,242.789993,233.382919,8559200
2018-02-06,238.800003,247.809998,237.669998,247.279999,237.698959,11701700
2018-02-07,246.710007,250.279999,245.919998,245.929993,236.401260,6240200
2018-02-08,246.250000,246.429993,236.699997,236.789993,227.615402,6985700
2018-02-09,239.600006,242.199997,232.419998,240.440002,231.124008,9713100
2018-02-12,242.500000,245.320007,240.660004,243.740005,234.296127,4236200
2018-02-13,242.630005,245.000000,241.970001,244.559998,235.084366,3077700
2018-02-14,243.000000,248.119995,242.839996,247.759995,238.160370,3650800
2018-02-15,249.600006,250.970001,246.979996,250.970001,241.246002,2923800
2018-02-16,250.270004,253.000000,250.169998,250.940002,241.217178,3007500
2018-02-20,250.000000,251.509995,248.600006,249.419998,239.756058,3454400
2018-02-21,249.860001,252.440002,248.110001,248.110001,238.496796,2798000
2018-02-22,249.169998,250.899994,247.809998,248.410004,238.785202,3177700
2018-02-23,249.820007,252.490005,249.300003,252.490005,242.707108,2923100
2018-02-26,253.559998,255.500000,252.990005,255.399994,245.504349,1892000
2018-02-27,255.630005,256.339996,252.139999,252.139999,242.370667,2947100
2018-02-28,253.369995,253.820007,249.339996,249.339996,239.679153,2716600
2018-03-01,249.529999,251.029999,244.449997,246.050003,236.516632,5182300
2018-03-02,244.240005,247.860001,243.330002,247.360001,237.775879,3276500
2018-03-05,246.020004,250.789993,245.949997,250.199997,240.505844,3024600
2018-03-06,251.220001,251.250000,249.229996,250.830002,241.111420,1932000
2018-03-07,248.539993,251.070007,248.360001,250.720001,241.005676,2730200
2018-03-08,251.399994,252.020004,250.360001,251.889999,242.130371,3021600
2018-03-09,253.399994,256.260010,253.050003,256.250000,246.321426,2450800
2018-03-12,256.640015,257.250000,255.580002,256.000000,246.081100,2029200
2018-03-13,257.200012,257.709991,253.710007,254.309998,244.456604,3080600
2018-03-14,255.330002,255.509995,252.460007,252.970001,243.168503,2352700
2018-03-15,253.550003,254.210007,252.220001,252.729996,242.937820,2161500
2018-03-16,253.229996,254.080002,252.970001,252.990005,243.187744,1554600
2018-03-19,252.250000,252.259995,247.869995,249.610001,239.938690,2715800
2018-03-20,249.990005,250.660004,249.330002,250.050003,240.361649,1991400
2018-03-21,249.940002,252.119995,249.309998,249.470001,239.804123,2777300
2018-03-22,247.110001,248.080002,243.029999,243.270004,233.844345,3589400
2018-03-23,243.740005,244.089996,237.919998,238.089996,228.865036,3815500
2018-03-26,240.820007,243.809998,238.320007,243.529999,235.164963,5529000
2018-03-27,244.470001,245.039993,237.770004,239.309998,231.089905,3363600
2018-03-28,239.460007,241.220001,237.529999,238.639999,230.442917,4384100
2018-03-29,239.850006,243.610001,239.080002,242.080002,233.764755,2910800
2018-04-02,241.190002,241.699997,233.919998,236.479996,228.357117,4696400
2018-04-03,237.809998,240.000000,235.929993,239.479996,231.254059,3287900
2018-04-04,235.869995,242.809998,235.699997,242.240005,233.919296,4598000
2018-04-05,243.899994,244.889999,242.800003,243.990005,235.609146,3436600
2018-04-06,241.940002,243.509995,236.979996,238.619995,230.423599,4931600
2018-04-09,240.149994,243.250000,239.320007,239.589996,231.360291,2956000
2018-04-10,242.750000,244.380005,241.570007,243.539993,235.174576,2903800
2018-04-11,242.000000,243.990005,241.949997,242.250000,233.928925,2068300
2018-04-12,243.710007,245.250000,243.470001,244.279999,235.889206,1723600
